Via_de_acesso;UF;nome_pais_correto;mes;ano;Chegadas
Aérea;Bahia;Afeganistão;Janeiro;2026;1
Aérea;São Paulo;Afeganistão;Janeiro;2026;4
Terrestre;Paraná;Afeganistão;Janeiro;2026;1
Terrestre;Rio Grande do Sul;Afeganistão;Janeiro;2026;1
Marítima;Rio de Janeiro;Afeganistão;Janeiro;2026;3
Aérea;Pará;Albânia;Janeiro;2026;1
Aérea;Ceará;Albânia;Janeiro;2026;2
Aérea;Rio de Janeiro;Albânia;Janeiro;2026;25
Aérea;São Paulo;Albânia;Janeiro;2026;25
Aérea;Santa Catarina;Albânia;Janeiro;2026;2
Aérea;Rio Grande do Sul;Albânia;Janeiro;2026;1
Aérea;Distrito Federal;Albânia;Janeiro;2026;1
Terrestre;Paraná;Albânia;Janeiro;2026;2
Terrestre;Rio Grande do Sul;Albânia;Janeiro;2026;1
Aérea;Amazonas;Alemanha;Janeiro;2026;66
Aérea;Pará;Alemanha;Janeiro;2026;57
Aérea;Ceará;Alemanha;Janeiro;2026;552
Aérea;Rio Grande do Norte;Alemanha;Janeiro;2026;86
Aérea;Paraíba;Alemanha;Janeiro;2026;1
Aérea;Pernambuco;Alemanha;Janeiro;2026;5
Aérea;Pernambuco;Alemanha;Janeiro;2026;595
Aérea;Alagoas;Alemanha;Janeiro;2026;10
Aérea;Bahia;Alemanha;Janeiro;2026;933
Aérea;Minas Gerais;Alemanha;Janeiro;2026;264
Aérea;Rio de Janeiro;Alemanha;Janeiro;2026;3860
Aérea;São Paulo;Alemanha;Janeiro;2026;204
Aérea;São Paulo;Alemanha;Janeiro;2026;9791
Aérea;Paraná;Alemanha;Janeiro;2026;16
Aérea;Paraná;Alemanha;Janeiro;2026;25
Aérea;Santa Catarina;Alemanha;Janeiro;2026;478
Aérea;Santa Catarina;Alemanha;Janeiro;2026;1
Aérea;Rio Grande do Sul;Alemanha;Janeiro;2026;240
Aérea;Distrito Federal;Alemanha;Janeiro;2026;218
Terrestre;Rondônia;Alemanha;Janeiro;2026;11
Terrestre;Acre;Alemanha;Janeiro;2026;5
Terrestre;Acre;Alemanha;Janeiro;2026;4
Terrestre;Amazonas;Alemanha;Janeiro;2026;32
Terrestre;Roraima;Alemanha;Janeiro;2026;3
