continente,pais,UF,via_de_acesso,ano,mes,data,total_chegadas
Europa,Bélgica,Acre (AC) - Brasil,Fluvial,2018,6,01/06/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Fluvial,2018,7,01/07/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Fluvial,2018,11,01/11/2018,1
América do Sul,Bolívia,Acre (AC) - Brasil,Fluvial,2018,6,01/06/2018,1
América do Sul,Bolívia,Acre (AC) - Brasil,Fluvial,2018,7,01/07/2018,1
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,5,01/05/2018,1
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,6,01/06/2018,16
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,7,01/07/2018,11
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,8,01/08/2018,14
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,9,01/09/2018,3
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,10,01/10/2018,17
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,12,01/12/2018,9
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,3
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,2
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,15
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,10
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,5
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,6
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,4
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,10
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,11
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,10
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,15
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,5
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,35
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,3
África,Angola,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,2
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,34
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,22
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,13
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,11
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,21
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,29
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,26
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,26
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,24
